ID,Category_ID,Name,DOP_Refrigerate_Min,DOP_Refrigerate_Max,DOP_Freeze_Min,DOP_Freeze_Max,Safe_Minimum_Temperature
661,19,Celery root,,,,,5
662,5,Apple cider,,,,,5
663,5,Yuzu juice,9.0,12.0,,,5
664,5,Yuzu,,,,,5
665,12,Pastrami,,,,,5
666,8,Kugel,,,,,5
667,25,Kugel,,,,,5
668,23,Avocado Oil,,,,,5
669,6,Balsamic vinegar,,,,,5
670,6,Aioli,,,,,5
671,6,Salad dressing,,,,,5
672,23,Base,,,,,5
673,6,Anchovies,,,,,5
674,19,Radicchio,,,,,5
675,12,Prosciutto,,,,,5
676,12,Ham ,,,,,5
677,10,Ham ,,,,,5
678,19,Arugula,,,,,5
679,9,Mung bean,,,,,5
680,9,Mung bean,,,,,5
681,9,Mung bean,,,,,5
682,23,Croutons,,,,,5
683,12,Bacon,,,,,5
684,23,Mustard,,,,,5
